日期	標題	編號	檔案位置
================================================================================
2026-01-19 09:57:00	天差地別的兩週	10299942	diary/10299942.html
2026-01-03 22:14:00	2025聖誕跨年回台(5)	10298487	diary/10298487.html
2026-01-01 21:58:00	2025聖誕跨年回台(4)	10298486	diary/10298486.html
2025-12-29 21:52:00	2025聖誕跨年回台(3)	10298485	diary/10298485.html
2025-12-27 21:45:00	2025聖誕跨年回台(2)	10298484	diary/10298484.html
2025-12-25 21:27:00	2025聖誕跨年回台(1)	10298480	diary/10298480.html
2025-12-20 22:10:16	15Y3M生活隨記(concert)	10297100	diary/10297100.html
2025-12-02 05:28:00	2025感恩節	10295595	diary/10295595.html
2025-11-22 04:58:00	2025 FASCA成果發表會	10295005	diary/10295005.html
2025-11-21 11:01:00	新車上路	10294560	diary/10294560.html
2025-11-02 22:23:00	Miss Festival Contest	10293153	diary/10293153.html
2025-10-26 21:21:00	Miss Taiwan,ESYO Fall concert, 恩恩tennis聚餐	10292679	diary/10292679.html
2025-10-20 22:52:28	2025的秋景	10291981	diary/10291981.html
2025-09-30 23:36:56	15Y0M生活隨記(10年級日常)	10290511	diary/10290511.html
2025-09-08 00:35:00	15Y0M 迎接10年級	10288925	diary/10288925.html
2025-08-24 22:11:00	Dallas trip1	10287693	diary/10287693.html
2025-08-24 22:16:00	Dallas trip2&恩樂15歲生日快樂	10287694	diary/10287694.html
2025-08-17 22:35:00	開心的美國相聚(19)NYC4	10287172	diary/10287172.html
2025-08-16 22:35:00	開心的美國相聚(18)NYC3	10287171	diary/10287171.html
2025-08-15 22:34:00	開心的美國相聚(17)NYC2	10287170	diary/10287170.html
2025-08-14 22:33:00	開心的美國相聚(16)NYC1	10287169	diary/10287169.html
2025-08-13 11:03:43	開心的美國相聚(15)	10286730	diary/10286730.html
2025-08-10 10:58:00	開心的美國相聚(14)Rochester2	10286729	diary/10286729.html
2025-08-09 10:31:00	開心的美國相聚(13)Rochester1	10286724	diary/10286724.html
2025-08-08 10:19:00	開心的美國相聚(12)Niagara Falls2	10286723	diary/10286723.html
2025-08-07 10:07:00	開心的美國相聚(11)Niagara Falls1	10286722	diary/10286722.html
2025-08-06 10:14:00	開心的美國相聚(10)	10286317	diary/10286317.html
2025-08-03 20:54:00	開心的美國相聚(9)	10286139	diary/10286139.html
2025-08-01 22:50:20	開心的美國相聚(8)	10285897	diary/10285897.html
2025-07-29 22:58:00	開心的美國相聚(7)Vermont&Lake George outlets	10285738	diary/10285738.html
2025-07-28 21:57:00	開心的美國相聚(6)Montreal&Vermont	10285737	diary/10285737.html
2025-07-27 21:44:00	開心的美國相聚(5)Montreal	10285735	diary/10285735.html
2025-07-26 21:24:00	開心的美國相聚(4)	10285732	diary/10285732.html
2025-07-23 20:37:00	開心的美國相聚(3)	10285355	diary/10285355.html
2025-07-20 10:27:00	開心的美國相聚(2)	10285082	diary/10285082.html
2025-07-17 10:15:00	開心的美國相聚(1)	10284797	diary/10284797.html
2025-07-15 08:39:00	14Y10M生活隨記(小鎮國慶煙火&一些聚會)	10284651	diary/10284651.html
2025-07-03 22:10:00	2025MA.NH海岸線之旅	10283728	diary/10283728.html
2025-07-01 21:43:00	14Y10M生活隨記(再見家家酒&羽球賽)	10283726	diary/10283726.html
2025-06-24 20:10:00	14Y9M生活隨記(迎接暑假)	10282910	diary/10282910.html
2025-06-09 23:43:13	14Y9M生活隨記(忙碌的期末)	10280961	diary/10280961.html
2025-05-25 06:17:00	2025Mets台灣日&學校concert	10278175	diary/10278175.html
2025-05-18 05:04:00	2025教會retreat	10276922	diary/10276922.html
2025-05-15 04:44:00	14Y8M生活隨記(樂樂FASCA.母親節)	10276921	diary/10276921.html
2025-05-06 04:43:00	14Y8M生活隨記(恩恩FASCA)	10275370	diary/10275370.html
2025-04-16 01:22:00	2025阿姆斯特丹(5)	10273661	diary/10273661.html
2025-04-15 00:09:00	2025阿姆斯特丹(4)	10273658	diary/10273658.html
2025-04-14 23:16:00	2025阿姆斯特丹(3)	10273656	diary/10273656.html
2025-04-13 19:59:00	2025阿姆斯特丹(2)	10273652	diary/10273652.html
2025-04-12 19:07:00	2025阿姆斯特丹(1)	10273644	diary/10273644.html
2025-04-09 05:20:00	14Y7M生活隨記	10272919	diary/10272919.html
2025-03-19 00:16:00	14Y6M生活隨記(一些concert)	10270969	diary/10270969.html
2025-02-25 00:25:16	2025 ESYO winter concert&恩恩 miniature house &恩樂公民宣誓	10268676	diary/10268676.html
2025-02-08 10:56:00	程貿生日&久違的抓寶	10266716	diary/10266716.html
2025-01-31 20:33:00	2025農曆新年	10265841	diary/10265841.html
2025-01-01 04:46:00	14Y4M生活隨記&2024聖誕節	10263062	diary/10263062.html
2024-12-08 06:04:00	14Y3M生活隨記	10259960	diary/10259960.html
2024-11-16 23:21:30	14Y2M生活隨記&ESYO Fall concert	10257854	diary/10257854.html
2024-10-28 20:44:25	2024 Festival of Nations	10256067	diary/10256067.html
2024-10-28 20:43:05	14Y1M生活隨記&秋天庭院楓景2	10256065	diary/10256065.html
2024-10-28 20:38:27	14Y1M生活隨記&秋天庭院楓景1	10256063	diary/10256063.html
2024-10-01 21:47:00	14Y0M生活隨記	10253619	diary/10253619.html
2024-09-06 06:16:00	9年級高中生	10251323	diary/10251323.html
2024-08-24 10:26:00	參觀UN&恩樂14歲生日	10250033	diary/10250033.html
2024-08-18 07:36:00	Buttermilk & Taughannock Falls State Park	10249389	diary/10249389.html
2024-08-16 05:48:00	Scientist Camp	10249387	diary/10249387.html
2024-08-08 22:07:00	回美&FASCA培訓	10248593	diary/10248593.html
2024-08-01 16:29:00	2024暑假回台(9)準備回美國	10247892	diary/10247892.html
2024-07-29 22:13:37	2024暑假回台(8)密室脫逃&美好相處時光	10247549	diary/10247549.html
2024-07-26 22:05:00	2024暑假回台(7)颱風天	10247547	diary/10247547.html
2024-07-22 21:50:00	2024暑假回台(6) 果然匯&大學同學聚會	10247546	diary/10247546.html
2024-07-18 21:15:14	2024暑假回台(5)交換小孩&程貿回美	10246556	diary/10246556.html
2024-07-14 22:55:00	2024暑假回台(4)台中嘉義行	10246259	diary/10246259.html
2024-07-11 08:12:00	2024暑假回台(3) 台北101	10245895	diary/10245895.html
2024-07-09 08:03:00	2024暑假回台(2)恩樂到二姊家	10245894	diary/10245894.html
2024-07-04 07:42:00	2024暑假回台(1) 聽力檢測.聚餐.故宮	10245892	diary/10245892.html
2024-07-02 07:46:00	2024東京之旅(2)早稻田&r吉祥寺&新宿	10244982	diary/10244982.html
2024-06-29 07:42:00	2024東京之旅(1)豐洲&富士山	10244981	diary/10244981.html
2024-06-25 07:36:00	恩樂國中畢業&2024暑假回台	10244980	diary/10244980.html
2024-06-22 08:10:00	13Y10M生活隨記	10243958	diary/10243958.html
2024-05-27 04:08:00	school concert & Memorial Day weekend	10241205	diary/10241205.html
2024-05-21 01:37:00	2024教會retreat	10240856	diary/10240856.html
2024-05-09 10:03:13	Science Fair & ESYO concert & 快閃NYC	10239679	diary/10239679.html
2024-04-14 10:02:37	13Y7M生活隨記	10237017	diary/10237017.html
2024-02-29 11:09:00	13Y6M生活隨記&程貿生日	10231744	diary/10231744.html
2024-02-03 00:13:00	13Y5M生活隨記	10229207	diary/10229207.html
2023-12-25 06:10:00	13Y4M生活隨記&Christmas	10225208	diary/10225208.html
2023-11-24 05:42:00	2023感恩節Boston	10222356	diary/10222356.html
2023-11-21 22:30:56	13Y3M生活隨記	10221967	diary/10221967.html
2023-10-29 10:29:00	2023秋景	10219815	diary/10219815.html
2023-10-07 20:18:49	樂樂的鋼琴比賽&忙碌的八年級接送	10217754	diary/10217754.html
2023-09-10 04:35:00	2023summer媽媽來美(5)準備返台	10214889	diary/10214889.html
2023-08-30 01:09:00	2023summer媽媽來美(4)NYC	10213469	diary/10213469.html
2023-08-24 06:12:00	2023summer媽媽來美(3)&恩樂13歲生日	10212568	diary/10212568.html
2023-08-15 21:55:00	2023summer媽媽來美(2)	10211526	diary/10211526.html
2023-08-06 20:32:00	2023summer媽媽來美(1)	10210870	diary/10210870.html
2023-07-26 19:08:00	2023summer回台(5)	10209733	diary/10209733.html
2023-07-22 08:06:00	2023summer回台(4)爺亨露營	10209245	diary/10209245.html
2023-07-20 07:39:00	2023summer回台(3)基隆之旅	10209243	diary/10209243.html
2023-07-18 07:28:00	2023summer回台(2)	10209242	diary/10209242.html
2023-07-12 07:56:00	2023summer回台(1)	10208224	diary/10208224.html
2023-06-30 14:15:00	2023東京行(5)	10206949	diary/10206949.html
2023-06-27 13:14:00	2023東京行(4)	10206939	diary/10206939.html
2023-06-26 13:06:00	2023東京行(3)	10206938	diary/10206938.html
2023-06-25 12:58:00	2023東京行(2)	10206936	diary/10206936.html
2023-06-24 12:46:00	2023回台&東京行(1)	10206935	diary/10206935.html
2023-06-21 21:57:01	piano recital & 7年級最後一天	10205886	diary/10205886.html
2023-06-14 04:41:00	Adventure Course&12Y9M生活隨記	10204738	diary/10204738.html
